ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
MG;CÓRREGO DANTA;70;PREFEITO;EDNEI MARTINS DE MATOS;EDNEI;AVANTE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SP;TREMEMBÉ;25007;VEREADOR;ANA ALICE TEODORO;ANA TEODORO;PRD;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO INFORMADO
AM;URUCURITUBA;23789;VEREADOR;LUCIANA BARBOSA DE SOUZA CRISTO;LUCIANA SOUZA;CIDADANIA;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SP;SÃO PAULO;55001;VEREADOR;PAULO SUSSUMU KOBAYASHI;EMBAIXADOR PAULO KOBAYASHI;PSD;MASCULINO;SUPERIOR COMPLETO;AMARELA
MG;ASTOLFO DUTRA;22022;VEREADOR;VANIR GONÇALVESDE OLIVEIRA;VAIR DO LIBÓRIO;PL;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;BRANCA
MG;SANTA LUZIA;40540;VEREADOR;LUZIANA ROCHA ASSIS;LUZIANA;PSB;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
SC;ARAQUARI;25222;VEREADOR;JAQUELINE APARECIDA DE RAMOS;JAQUE DO ARAQUARI NEWS;PRD;FEMININO;ENSINO MÉDIO INCOMPLETO;BRANCA
CE;MARACANAÚ;33580;VEREADOR;ABÍAS FLORENCIO BEZERRA;ABÍAS BEZERRA;MOBILIZA;MASCULINO;ENSINO MÉDIO COMPLETO;INDÍGENA
MA;PENALVA;15007;VEREADOR;ABISAI DE OLIVEIRA SOUSA;ABISAI;MDB;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;IRACEMÁPOLIS;55;VICE-PREFEITO;DENISE CALICE MARTIN;DENISE CALICE;PSD;FEMININO;SUPERIOR COMPLETO;BRANCA
GO;DAVINÓPOLIS;20;PREFEITO;VANUSA APARECIDA BENTO GOMES;VANUSA;PODE;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
MG;CORDISLÂNDIA;10000;VEREADOR;ÂNGELO AUGUSTO FELIZARDO TAVARES;GUTO DA ROSINHA;REPUBLICANOS;MASCULINO;SUPERIOR COMPLETO;BRANCA
SP;CRUZEIRO;22;PREFEITO;JOSE KLEBER LIMA SILVEIRA JUNIOR;KLEBER SILVEIRA;PL;MASCULINO;SUPERIOR COMPLETO;BRANCA
RJ;RIO DAS FLORES;27123;VEREADOR;BRENO FRANÇA DA ROCHA;BRENO FRANÇA;DC;MASCULINO;SUPERIOR COMPLETO;BRANCA
AM;AMATURÁ;45369;VEREADOR;LACIEL ANDRADE GONÇALVES;LACIEL ANDRADE;PSDB;MASCULINO;ENSINO MÉDIO COMPLETO;INDÍGENA
SP;SÃO VICENTE;12212;VEREADOR;CLÁUDIA ANGÉLICA ROCHA;CLAUDIA ROCHA;PDT;FEMININO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
